ENRICHMENT_Extract_SA_Public_Holiday_2020_2024,,,,,,,,,,,
date,year,day_name,is_holiday,holiday_name,holiday_scope,holiday_block,holiday_source_basis,long_weekend_flag,day_before_full_day_holiday_flag,day_after_full_day_holiday_flag,holiday_related_flag
26/5/2020,2020,Tuesday,0,,,,,No,No,No,No
27/5/2020,2020,Wednesday,0,,,,,No,No,No,No
28/5/2020,2020,Thursday,0,,,,,No,No,No,No
29/5/2020,2020,Friday,0,,,,,No,No,No,No
30/5/2020,2020,Saturday,0,,,,,No,No,No,No
31/5/2020,2020,Sunday,0,,,,,No,No,No,No
1/6/2020,2020,Monday,0,,,,,No,No,No,No
2/6/2020,2020,Tuesday,0,,,,,No,No,No,No
3/6/2020,2020,Wednesday,0,,,,,No,No,No,No
4/6/2020,2020,Thursday,0,,,,,No,No,No,No
5/6/2020,2020,Friday,0,,,,,No,No,No,No
6/6/2020,2020,Saturday,0,,,,,No,No,No,No
7/6/2020,2020,Sunday,0,,,,,No,Yes,No,Yes
8/6/2020,2020,Monday,1,Queen's Birthday / Volunteer's Day,full_day,King/Queen's Birthday,official,Yes,No,No,Yes
9/6/2020,2020,Tuesday,0,,,,,No,No,Yes,Yes
10/6/2020,2020,Wednesday,0,,,,,No,No,No,No
11/6/2020,2020,Thursday,0,,,,,No,No,No,No
12/6/2020,2020,Friday,0,,,,,No,No,No,No
13/6/2020,2020,Saturday,0,,,,,No,No,No,No
14/6/2020,2020,Sunday,0,,,,,No,No,No,No
15/6/2020,2020,Monday,0,,,,,No,No,No,No
16/6/2020,2020,Tuesday,0,,,,,No,No,No,No
17/6/2020,2020,Wednesday,0,,,,,No,No,No,No
18/6/2020,2020,Thursday,0,,,,,No,No,No,No
19/6/2020,2020,Friday,0,,,,,No,No,No,No
20/6/2020,2020,Saturday,0,,,,,No,No,No,No
21/6/2020,2020,Sunday,0,,,,,No,No,No,No
22/6/2020,2020,Monday,0,,,,,No,No,No,No
23/6/2020,2020,Tuesday,0,,,,,No,No,No,No
24/6/2020,2020,Wednesday,0,,,,,No,No,No,No
25/6/2020,2020,Thursday,0,,,,,No,No,No,No
26/6/2020,2020,Friday,0,,,,,No,No,No,No
27/6/2020,2020,Saturday,0,,,,,No,No,No,No
28/6/2020,2020,Sunday,0,,,,,No,No,No,No
29/6/2020,2020,Monday,0,,,,,No,No,No,No
30/6/2020,2020,Tuesday,0,,,,,No,No,No,No
1/7/2020,2020,Wednesday,0,,,,,No,No,No,No
2/7/2020,2020,Thursday,0,,,,,No,No,No,No
3/7/2020,2020,Friday,0,,,,,No,No,No,No
4/7/2020,2020,Saturday,0,,,,,No,No,No,No
5/7/2020,2020,Sunday,0,,,,,No,No,No,No
6/7/2020,2020,Monday,0,,,,,No,No,No,No
7/7/2020,2020,Tuesday,0,,,,,No,No,No,No
8/7/2020,2020,Wednesday,0,,,,,No,No,No,No
9/7/2020,2020,Thursday,0,,,,,No,No,No,No
10/7/2020,2020,Friday,0,,,,,No,No,No,No
11/7/2020,2020,Saturday,0,,,,,No,No,No,No
12/7/2020,2020,Sunday,0,,,,,No,No,No,No
13/7/2020,2020,Monday,0,,,,,No,No,No,No
14/7/2020,2020,Tuesday,0,,,,,No,No,No,No
15/7/2020,2020,Wednesday,0,,,,,No,No,No,No
16/7/2020,2020,Thursday,0,,,,,No,No,No,No
17/7/2020,2020,Friday,0,,,,,No,No,No,No
18/7/2020,2020,Saturday,0,,,,,No,No,No,No
19/7/2020,2020,Sunday,0,,,,,No,No,No,No
20/7/2020,2020,Monday,0,,,,,No,No,No,No
21/7/2020,2020,Tuesday,0,,,,,No,No,No,No
22/7/2020,2020,Wednesday,0,,,,,No,No,No,No
23/7/2020,2020,Thursday,0,,,,,No,No,No,No
24/7/2020,2020,Friday,0,,,,,No,No,No,No
25/7/2020,2020,Saturday,0,,,,,No,No,No,No
26/7/2020,2020,Sunday,0,,,,,No,No,No,No
27/7/2020,2020,Monday,0,,,,,No,No,No,No
28/7/2020,2020,Tuesday,0,,,,,No,No,No,No
29/7/2020,2020,Wednesday,0,,,,,No,No,No,No
30/7/2020,2020,Thursday,0,,,,,No,No,No,No
31/7/2020,2020,Friday,0,,,,,No,No,No,No
1/8/2020,2020,Saturday,0,,,,,No,No,No,No
2/8/2020,2020,Sunday,0,,,,,No,No,No,No
3/8/2020,2020,Monday,0,,,,,No,No,No,No
4/8/2020,2020,Tuesday,0,,,,,No,No,No,No
5/8/2020,2020,Wednesday,0,,,,,No,No,No,No
6/8/2020,2020,Thursday,0,,,,,No,No,No,No
7/8/2020,2020,Friday,0,,,,,No,No,No,No
8/8/2020,2020,Saturday,0,,,,,No,No,No,No
9/8/2020,2020,Sunday,0,,,,,No,No,No,No
10/8/2020,2020,Monday,0,,,,,No,No,No,No
11/8/2020,2020,Tuesday,0,,,,,No,No,No,No
12/8/2020,2020,Wednesday,0,,,,,No,No,No,No
13/8/2020,2020,Thursday,0,,,,,No,No,No,No
14/8/2020,2020,Friday,0,,,,,No,No,No,No
15/8/2020,2020,Saturday,0,,,,,No,No,No,No
16/8/2020,2020,Sunday,0,,,,,No,No,No,No
17/8/2020,2020,Monday,0,,,,,No,No,No,No
18/8/2020,2020,Tuesday,0,,,,,No,No,No,No
19/8/2020,2020,Wednesday,0,,,,,No,No,No,No
20/8/2020,2020,Thursday,0,,,,,No,No,No,No
21/8/2020,2020,Friday,0,,,,,No,No,No,No
22/8/2020,2020,Saturday,0,,,,,No,No,No,No
23/8/2020,2020,Sunday,0,,,,,No,No,No,No
24/8/2020,2020,Monday,0,,,,,No,No,No,No
25/8/2020,2020,Tuesday,0,,,,,No,No,No,No
26/8/2020,2020,Wednesday,0,,,,,No,No,No,No
27/8/2020,2020,Thursday,0,,,,,No,No,No,No
28/8/2020,2020,Friday,0,,,,,No,No,No,No
29/8/2020,2020,Saturday,0,,,,,No,No,No,No
30/8/2020,2020,Sunday,0,,,,,No,No,No,No
31/8/2020,2020,Monday,0,,,,,No,No,No,No
1/9/2020,2020,Tuesday,0,,,,,No,No,No,No
2/9/2020,2020,Wednesday,0,,,,,No,No,No,No
3/9/2020,2020,Thursday,0,,,,,No,No,No,No
4/9/2020,2020,Friday,0,,,,,No,No,No,No
5/9/2020,2020,Saturday,0,,,,,No,No,No,No
6/9/2020,2020,Sunday,0,,,,,No,No,No,No
7/9/2020,2020,Monday,0,,,,,No,No,No,No
8/9/2020,2020,Tuesday,0,,,,,No,No,No,No
9/9/2020,2020,Wednesday,0,,,,,No,No,No,No
10/9/2020,2020,Thursday,0,,,,,No,No,No,No
11/9/2020,2020,Friday,0,,,,,No,No,No,No
12/9/2020,2020,Saturday,0,,,,,No,No,No,No
13/9/2020,2020,Sunday,0,,,,,No,No,No,No
14/9/2020,2020,Monday,0,,,,,No,No,No,No
15/9/2020,2020,Tuesday,0,,,,,No,No,No,No
16/9/2020,2020,Wednesday,0,,,,,No,No,No,No
17/9/2020,2020,Thursday,0,,,,,No,No,No,No
18/9/2020,2020,Friday,0,,,,,No,No,No,No
19/9/2020,2020,Saturday,0,,,,,No,No,No,No
20/9/2020,2020,Sunday,0,,,,,No,No,No,No
21/9/2020,2020,Monday,0,,,,,No,No,No,No
22/9/2020,2020,Tuesday,0,,,,,No,No,No,No
23/9/2020,2020,Wednesday,0,,,,,No,No,No,No
24/9/2020,2020,Thursday,0,,,,,No,No,No,No
25/9/2020,2020,Friday,0,,,,,No,No,No,No
26/9/2020,2020,Saturday,0,,,,,No,No,No,No
27/9/2020,2020,Sunday,0,,,,,No,No,No,No
28/9/2020,2020,Monday,0,,,,,No,No,No,No
29/9/2020,2020,Tuesday,0,,,,,No,No,No,No
30/9/2020,2020,Wednesday,0,,,,,No,No,No,No
1/10/2020,2020,Thursday,0,,,,,No,No,No,No
2/10/2020,2020,Friday,0,,,,,No,No,No,No
